filepath,readable_date,readable_time,frames,duration,ROI
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/owl/2026-02-04_11-23-56-024601.mp4,04.02.2026,11h23m56s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/owl/2026-02-04_12-54-35-774397.mp4,04.02.2026,12h54m35s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/owl/2026-02-04_16-30-34-564475.mp4,04.02.2026,16h30m34s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/owl/2026-02-05_10-29-50-452757.mp4,05.02.2026,10h29m50s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/owl/2026-02-05_11-31-27-356924.mp4,05.02.2026,11h31m27s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/owl/2026-02-05_14-54-22-447890.mp4,05.02.2026,14h54m22s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/owl/2026-02-06_14-08-01-583401.mp4,06.02.2026,14h08m01s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/owl/2026-02-06_14-58-45-490449.mp4,06.02.2026,14h58m45s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-10/cyclesix/owl/2026-02-06_15-27-45-680571.mp4,06.02.2026,15h27m45s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-13/cyclesix/owl/2025-11-26_10-58-37-143560.mp4,26.11.2025,10h58m37s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-13/cyclesix/owl/2026-02-02_16-21-29-383728.mp4,02.02.2026,16h21m29s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-13/cyclesix/owl/2026-02-03_10-03-06-602196.mp4,03.02.2026,10h03m06s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-13/cyclesix/owl/2026-02-03_13-35-04-094286.mp4,03.02.2026,13h35m04s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-13/cyclesix/owl/2026-02-03_16-24-30-015108.mp4,03.02.2026,16h24m30s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-13/cyclesix/owl/2026-02-04_11-30-12-691191.mp4,04.02.2026,11h30m12s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-13/cyclesix/owl/2026-02-04_14-20-38-511158.mp4,04.02.2026,14h20m38s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-13/cyclesix/owl/2026-02-04_16-42-37-086462.mp4,04.02.2026,16h42m37s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-13/cyclesix/owl/2026-02-05_10-25-26-489018.mp4,05.02.2026,10h25m26s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-13/cyclesix/owl/2026-02-05_11-41-03-903487.mp4,05.02.2026,11h41m03s,,,
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-13/cyclesix/owl/2026-02-05_14-58-40-913307.mp4,05.02.2026,14h58m40s,,,
