filepath	readable_date	readable_time	status_website	login	submitted	tentativas	qualtrics	comments
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-05/cyclesix/cyclesix_screen_20260203_132559.mp4	03.02.2026	13h25m59s	online	57	0	4	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-05/cyclesix/cyclesix_screen_20260203_145700.mp4	03.02.2026	14h57m00s	online	77	0	1	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-05/cyclesix/cyclesix_screen_20260204_095843.mp4	04.02.2026	09h58m43s	online	47	0	8	1	filled out cyclesiz twice
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-05/cyclesix/cyclesix_screen_20260204_113640.mp4	04.02.2026	11h36m40s	online	0005	0	3	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-05/cyclesix/cyclesix_screen_20260204_124329.mp4	04.02.2026	12h43m29s	46	46	0	5	1	login 52 didnt work, switc46
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-05/cyclesix/cyclesix_screen_20260204_141646.mp4	04.02.2026	14h16m46s	online	82	0	1	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-05/cyclesix/cyclesix_screen_20260204_163807.mp4	04.02.2026	16h38m07s	online	75	1	1	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-05/cyclesix/cyclesix_screen_20260205_145326.mp4	05.02.2026	14h53m26s	online	111	0	3	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-05/cyclesix/cyclesix_screen_20260206_140716.mp4	06.02.2026	14h07m16s	online	112	1	1	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-05/cyclesix/cyclesix_screen_20260209_112111.mp4	09.02.2026	11h21m11s	offline	0	0	0	0	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/cyclesix_screen_20260202_151716.mp4	02.02.2026	15h17m16s	online	28	1	1	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/cyclesix_screen_20260202_164756.mp4	02.02.2026	16h47m56s	online	18	1	3	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/cyclesix_screen_20260203_095158.mp4	03.02.2026	09h51m58s	onlinr	60	1	1	1	pdf results
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/cyclesix_screen_20260203_113601.mp4	03.02.2026	11h36m01s	0	0	0	0	0	screen recording corrupted
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/cyclesix_screen_20260203_133450.mp4	03.02.2026	13h34m50s	online	65	0	1	1	wrong match name in qualtrics
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/cyclesix_screen_20260203_145945.mp4	03.02.2026	14h59m45s	online	19	0	1	1	wrong match name in qualtrics
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/cyclesix_screen_20260204_095804.mp4	04.02.2026	09h58m04s	online	0	0	0	1	did everything wrong, went straight to qualtrics, discard entry
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/cyclesix_screen_20260204_113713.mp4	04.02.2026	11h37m13s	online	38	0	3	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/cyclesix_screen_20260204_130444.mp4	04.02.2026	13h04m44s	online	43	0	3	1	
/media/labadmin/Windows/Users/diogo/aixlab/data/raw/aixlab-06/cyclesix/cyclesix_screen_20260204_142013.mp4	04.02.2026	14h20m13s	online	41	0	5	"1	"	
